title,creators,collection,tags,call_number,ddc,lcc,lendings
"Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition)","Benjamin Graham, Jason Zweig",Philippines,,,332.678,HG4521,0
"Radical Candor","Kim Scott",Philippines,,,,,0
"How to Communicate with Confidence","Mike Bechtle",Philippines,,,651.73,P95.45,0
Slammed,"Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"You Can Wind Down From Time to Time - English Translation","Dan Kim, Young Chae-Lee",Philippines,,,,,0
"Finding Cinderella: A Novella","Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"Regretting You","Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"This Girl: A Novel","Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International)","Haruki Murakami",Philippines,,,895.635,PL856.U673,0
Verity,"Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"Prince (Clydesdale Classics)","Niccolò Machiavelli",Philippines,,,320.1,JC143,0
"Norwegian Wood","Haruki Murakami",Philippines,,,895.635,PL856.U673,0
"Steppenwolf: A Novel (Picador Modern Classics)","Hermann Hesse",Philippines,,,833.912,PT2617.E85,0
Hopeless,"Colleen Hoover",Philippines,,,813.6,PS3608.O623,0
"Abundance Mind-Set","Joel Osteen",Philippines,,,248.4,BV4598.2,0
"Wayward Son","Rainbow Rowell",Philippines,,,,,0
"Conjugal Dictatorship of Ferdinand and Imelda Marcos","Primitivo Mijares",Philippines,,,,"DS686.6.M35 M55",0
"Landline: A Novel","Rainbow Rowell",Philippines,,,813.6,PS3618.O8755,0
"Untethered Soul: The Journey Beyond Yourself","Michael A. Singer",Philippines,,,153,BF311,0
"Sales 101","Wendy Connick",Philippines,,,658.85,HF5438.25.C65365,0
"Blue Moon","Lee Child",Philippines,,,813.54,PS3553.H4838,0
"Lonely Planet Beijing","Damian Harper",Philippines,,,915.1156046,DS795.A4,0
"Lonely Planet Bangkok","Joe Cummings, China Williams",Philippines,,,915.93,DS589.B2,0
"Power of Significance: How Purpose Changes Your Life","John C. Maxwell",Philippines,,,158,"BF637.S8 M39",0
"Lonely Planet San Francisco (Lonely Planet Pocket Guide San Francisco)","Tom Given",Philippines,,,917.94610454,F869.S33,0
"Animal Farm","George Orwell",Philippines,,,823.912,PR6029.R8,0
"Ancient City of Pingyao",,Philippines,,,,"DS797.88.H364 H323",0
Suzhou,,Philippines,,,915.113,DS796.S85,0
Shanghai,,Philippines,,,915.11,DS796.S24,0
"World Is Flat 3.0: A Brief History of the Twenty-first Century","Thomas L. Friedman",Philippines,,,330.90511,HM846,0
"Wine Dogs Australia","Craig McGill, Susan Elliott, Max Allen (Introduction by)",Philippines,,,779.329772,,0
"Killing Kryptonite","John Bevere",Philippines,,,248.4,BV4501.3,0
"Soaking in God's Presence","Leif Hetland, Paul Yadao",Philippines,,,,,0
"Wash: Only a Bookkeeper","Jr. Jose Y. Dalisay",Philippines,,,657.092,HF5616.P6,0
"Heartstopper #1","Alice Oseman",Philippines,,,,,0
"Heartstopper: Volume 2","Alice Oseman",Philippines,,,,,0
"Heartstopper #3","Alice Oseman",Philippines,,,741.5942,PZ7.7.O7665,0
"Heartstopper #4","Alice Oseman",Philippines,,,741.5942,PZ7.7.O7665,0
"Bad Feminist: Essays","Roxane Gay",Philippines,,,814,HQ1421.G39,0
"Who Moved My Cheese?: An Amazing Way to Deal with Change in Your Work and in Your Life","Spencer Johnson",Philippines,,,155.24,BF637.C4,0
"Dare to Lead","Brené Brown",Philippines,,,658.4092,HD57.7,0
"Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid",Philippines,,,813,"PS3618.E5478 S48",0
"Power of Habit: Why We Do What We Do in Life and Business","Charles Duhigg",Philippines,,,158.1,BF335.D78,0
"Personal MBA 10th Anniversary Edition","Josh Kaufman",Philippines,,,650,HD31,0
"Scrum: The Art of Doing Twice the Work in Half the Time","Jeff Sutherland",Philippines,,,658.4,HD30.28.S899,0
"Love Your Life, Not Theirs: 7 Money Habits for Living the Life You Want","Rachel Cruze",Philippines,,,332.024,HG179.C79,0
"Adventures of Sherlock Holmes (Collins Classics)","Arthur Conan Doyle",Philippines,,,823.8,PR4622,0
"Return of Sherlock Holmes (Collins Classics)","Sir Arthur Conan Doyle",Philippines,,,823.8,PR4622,0
"Demian: The Story of Emil Sinclair's Youth (Penguin Classics)","Hermann Hesse",Philippines,,,833.912,PT2617.E85,0
"I'll Get Back to You","Sam George",Philippines,,,,,0
"And Then There Were None","Agatha Christie",Philippines,,,823.912,PR6005.H66,0
"Couple Next Door","Shari Lapena",Philippines,,,,,0
"Flowers in the Attic/Petals on the Wind (Dollanganger Series)","V.C. Andrews",Philippines,,,813.54,PS3551.N454,0
Essentialism,"Greg McKeown",Philippines,,,153.83,BF611,0
"Spanish Love Deception :Pretending to be in love never felt better.","ELENA ARMAS",Philippines,,,,,0
"Virgin Suicides (Twenty-Fifth Anniversary Edition)","Jeffrey Eugenides",Philippines,,,,,0
"Thousand Pieces of You (Firebird)","Claudia Gray",Philippines,,,813.6,PZ7.G77625,0
"Million Worlds with You (Firebird)","Claudia Gray",Philippines,,,813.6,,0
"Ten Thousand Skies Above You (Firebird)","Claudia Gray",Philippines,,,813.6,,0
"Invisible Woman","Erika Robuck",Philippines,,,813.6,PS3618.O338,0
"Multipliers, Revised and Updated: How the Best Leaders Make Everyone Smart","Liz Wiseman",Philippines,,,658.4092,HD57.7,0
"Icarus Deception: How High Will You Fly?","Seth Godin",Philippines,,,650.1,HF5386,0
